i799	00147052-s
i800	00147160-s
i801	00147397-s
i802	00147528-a
i803	00147659-s
i804	00147734-a
i805	00148078-s
i806	00148642-s
i807	00148852-s
i808	00149120-s
i809	00149262-s
i810	00149461-s
i811	00149686-s
i812	00149861-a
i813	00150055-s
i814	00150202-a
i815	00150505-s
i816	00150835-s
i817	00150936-s
i818	00151105-a
i819	00151530-s
i820	00151661-s
i821	00151855-s
i822	00152004-s
i823	00152104-s
i824	00152285-s
i825	00152629-s
i826	00152784-s
i827	00152896-a
i828	00153083-s
i829	00153239-a
i830	00153410-a
i831	00153545-s
i832	00153652-a
i833	00153789-s
i834	00153898-a
i835	00154163-s
i836	00154270-s
i837	00154583-s
i838	00154837-s
i839	00154965-a
i840	00155144-s
i841	00155720-s
i842	00155886-s
i843	00156101-a
i844	00156440-s
i845	00156575-s
i846	00156839-a
i847	00157080-s
i848	00157268-s
i849	00157389-a
i850	00157659-s
i851	00157849-a
i852	00157925-a
i853	00158110-s
i854	00158238-s
i855	00158332-s
i856	00158407-a
i857	00158546-s
i858	00158701-a
i859	00158864-s
i860	00158961-s
i861	00159106-s
i862	00159267-s
i863	00159381-a
i864	00159498-a
i865	00159735-a
i866	00159975-a
i867	00160144-a
i868	00160288-s
i869	00160425-a
i870	00160573-a
i871	00160768-s
i872	00160957-s
i873	00161065-a
i874	00161170-s
i875	00161276-a
i876	00161431-a
i877	00161684-s
i878	00161878-s
i879	00161993-s
i880	00162083-a
i881	00162248-s
i882	00162386-a
i883	00162661-s
i884	00162863-s
i885	00162990-a
i886	00163315-s
i887	00163480-s
i888	00163592-a
i889	00163948-s
i890	00164308-s
i891	00164462-s
i892	00164598-s
i893	00164681-s
i894	00164863-a
i895	00165171-s
i896	00165458-s
i897	00165585-s
i898	00165766-s
i899	00165943-s
i900	00166146-a
i901	00166753-s
i902	00167077-s
i903	00167278-s
i904	00167520-s
i905	00167671-s
i906	00167829-s
i907	00168039-s
i908	00168188-s
i909	00168551-s
i910	00168694-s
i911	00168820-s
i912	00168910-s
i913	00169056-s
i914	00169164-a
i915	00169432-s
i916	00169692-s
i917	00169826-s
i918	00169955-a
i919	00170156-a
i920	00170358-a
i921	00170717-s
i922	00170847-s
i923	00171044-a
i924	00171292-s
i925	00171447-s
i926	00171590-a
i927	00171872-s
i928	00172172-s
i929	00172308-s
i930	00172452-a
i931	00172562-a
i932	00172774-s
i933	00172993-a
i934	00173220-a
i935	00173391-s
i936	00173694-a
i937	00173764-a
i938	00174056-s
i939	00174150-s
i940	00174243-s
i941	00174379-a
i942	00174719-s
i943	00174879-s
i944	00174983-s
i945	00175123-s
i946	00175300-s
i947	00175435-s
i948	00175528-a
i949	00175719-a
i950	00175887-a
i951	00176150-a
i952	00176387-s
i953	00176676-s
i954	00176838-a
i955	00176991-s
i956	00177186-a
i957	00177547-s
i958	00177834-s
i959	00177963-a
i960	00178126-s
i961	00178464-s
i962	00178575-a
i963	00178811-s
i964	00179035-s
i965	00179190-s
i966	00179315-s
i967	00179486-a
i968	00179676-s
i969	00179815-s
i970	00179925-a
i971	00180211-a
i972	00180359-a
i973	00180496-a
i974	00180655-a
i975	00180835-a
i976	00181030-a
i977	00181162-s
i978	00181264-s
i979	00181373-a
i980	00181476-a
i981	00181904-s
i982	00182086-s
i983	00182225-s
i984	00182418-s
i985	00182510-s
i986	00182639-s
i987	00182718-s
i988	00182843-a
i989	00182961-s
i990	00183053-a
i991	00183675-s
i992	00183832-s
i993	00183932-s
i994	00184075-s
i995	00184229-s
i996	00184363-s
i997	00184543-s
i998	00184676-s
i999	00184792-s
i1000	00185020-s
i1001	00185160-s
i1002	00185363-s
i1003	00185509-s
i1004	00185607-s
i1005	00185759-s
i1006	00185921-a
i1007	00186193-s
i1008	00186490-s
i1009	00186616-a
i1010	00186925-s
i1011	00187049-s
i1012	00187176-s
i1013	00187443-s
i1014	00187590-s
i1015	00187736-a
i1016	00188058-s
i1017	00188155-s
i1018	00188436-s
i1019	00188738-s
i1020	00188917-s
i1021	00189017-s
i1022	00189253-s
i1023	00189511-s
i1024	00189580-a
i1025	00189833-s
i1026	00190023-a
i1027	00190115-a
i1028	00190653-s
i1029	00190960-s
i1030	00191265-s
i1031	00191603-a
i1032	00192026-s
i1033	00192332-s
i1034	00192523-s
i1035	00192756-a
i1036	00192880-a
i1037	00193015-a
i1038	00193367-s
i1039	00193480-s
i1040	00193799-s
i1041	00194357-s
i1042	00194817-s
i1043	00194924-s
i1044	00195191-s
i1045	00195383-s
i1046	00195684-s
i1047	00196122-s
i1048	00196233-s
i1049	00196312-s
i1050	00196449-s
